21.9358989668	0	4.45
21.9358989668	4	5.14
21.9358989668	9	6.03
21.9358989668	18	6.72
21.9358989668	27	6.44
21.9358989668	38	7.82
21.9358989668	55	7.85
21.9358989668	80	8.01
22.0413819028	0	4.38
22.0413819028	4	4.99
22.0413819028	9	5.91
22.0413819028	18	6.58
22.0413819028	27	6.71
22.0413819028	38	7.53
22.0413819028	55	7.88
22.0413819028	80	7.98
39.3609729853	0	3.97
39.3609729853	4	4.64
39.3609729853	9	5.87
39.3609729853	18	6.65
39.3609729853	27	6.74
39.3609729853	38	7.53
39.3609729853	55	7.83
39.3609729853	80	8.02
39.4433787434	0	4.12
39.4433787434	4	4.77
39.4433787434	9	5.91
39.4433787434	18	6.44
39.4433787434	27	6.82
39.4433787434	38	7.4
39.4433787434	55	7.86
39.4433787434	80	8.03
56.7861395638	0	3.79
56.7861395638	4	4.31
56.7861395638	9	5.73
56.7861395638	18	6.6
56.7861395638	27	7.07
56.7861395638	38	7.44
56.7861395638	55	7.84
56.7861395638	80	8
56.8454674059	0	3.99
56.8454674059	4	4.47
56.8454674059	9	5.71
56.8454674059	18	6.35
56.8454674059	27	6.94
56.8454674059	38	7.41
56.8454674059	55	7.84
56.8454674059	80	8.02
74.2113727839	0	4.36
74.2113727839	4	4.06
74.2113727839	9	5.18
74.2113727839	18	6.64
74.2113727839	27	7.09
74.2113727839	38	7.83
74.2113727839	55	7.86
74.2113727839	80	8
74.2476221782	0	4.06
74.2476221782	4	4.15
74.2476221782	9	5.4
74.2476221782	18	6.38
74.2476221782	27	7.17
74.2476221782	38	7.94
74.2476221782	55	7.86
74.2476221782	80	7.99
91.6366467232	0	4.63
91.6366467232	4	4.67
91.6366467232	9	5.54
91.6366467232	18	6.18
91.6366467232	27	6.9
91.6366467232	38	7.37
91.6366467232	55	7.92
91.6366467232	80	8.02
91.6498173449	0	4.47
91.6498173449	4	4.67
91.6498173449	9	5.48
91.6498173449	18	6.2
91.6498173449	27	6.91
91.6498173449	38	7.69
91.6498173449	55	7.99
91.6498173449	80	8
109.061935457	0	4.8
109.061935457	4	5.28
109.061935457	9	6.04
109.061935457	18	5.91
109.061935457	27	6.52
109.061935457	38	6.79
109.061935457	55	7.97
109.061935457	80	8.01
109.052027189	0	4.86
109.052027189	4	5.31
109.052027189	9	5.56
109.052027189	18	5.94
109.052027189	27	6.44
109.052027189	38	7.18
109.052027189	55	8.04
109.052027189	80	8.02
126.487213061	0	4.18
126.487213061	4	5.84
126.487213061	9	5.81
126.487213061	18	6.01
126.487213061	27	5.99
126.487213061	38	6.89
126.487213061	55	7.85
126.487213061	80	8.02
126.454225991	0	4.88
126.454225991	4	5.42
126.454225991	9	5.28
126.454225991	18	6.1
126.454225991	27	6.01
126.454225991	38	6.71
126.454225991	55	7.99
126.454225991	80	8.04
143.912453611	0	3.88
143.912453611	4	5.31
143.912453611	9	6.22
143.912453611	18	6.63
143.912453611	27	6.73
143.912453611	38	7.25
143.912453611	55	7.75
143.912453611	80	8.05
143.856388034	0	4.6
143.856388034	4	5.32
143.856388034	9	5.86
143.856388034	18	6.53
143.856388034	27	6.68
143.856388034	38	7.2
143.856388034	55	8.03
143.856388034	80	8.01
161.337631182	0	3.41
161.337631182	4	4.53
161.337631182	9	6.88
161.337631182	18	7.4
161.337631182	27	7.72
161.337631182	38	7.53
161.337631182	55	7.51
161.337631182	80	8.06
161.258487602	0	4.29
161.258487602	4	5.18
161.258487602	9	6.68
161.258487602	18	7.04
161.258487602	27	7.72
161.258487602	38	7.96
161.258487602	55	8.07
161.258487602	80	8
