120.2167 22.0000 0.0 4.26 2.43
120.5072 22.0000 0.0 4.26 2.43
120.7493 22.0000 0.0 4.44 2.72
120.9913 22.0000 0.0 4.51 2.48
121.2335 22.0000 0.0 4.08 2.33
121.5725 22.0000 0.0 5.23 3.05
120.2167 22.3160 0.0 3.43 1.89
120.5075 22.3160 0.0 5.33 3.63
120.7498 22.3160 0.0 5.27 3.37
120.9922 22.3160 0.0 3.88 2.49
121.2347 22.3160 0.0 4.26 2.43
121.5740 22.3160 0.0 4.26 2.44
120.2167 22.6773 0.0 3.52 1.86
120.5078 22.6773 0.0 3.20 1.74
120.7505 22.6773 0.0 5.26 3.62
120.9932 22.6773 0.0 3.38 1.81
121.2358 22.6773 0.0 3.24 1.69
121.5757 22.6773 0.0 4.10 2.34
120.2167 22.8580 0.0 3.78 2.06
120.5080 22.8580 0.0 3.27 2.05
120.7508 22.8580 0.0 5.30 3.63
120.9937 22.8580 0.0 4.84 2.79
121.2365 22.8580 0.0 3.81 2.12
121.5765 22.8580 0.0 4.26 2.43
120.2167 23.0385 0.0 3.34 1.70
120.5083 23.0385 0.0 4.19 2.62
120.7512 23.0385 0.0 5.24 3.24
120.9942 23.0385 0.0 4.22 2.41
121.2372 23.0385 0.0 3.43 1.75
121.5773 23.0385 0.0 3.83 2.11
120.2167 23.2192 0.0 4.13 1.97
120.5085 23.2192 0.0 4.54 2.53
120.7517 23.2192 0.0 4.86 2.63
120.9947 23.2192 0.0 4.28 2.42
121.2378 23.2192 0.0 3.90 2.58
121.5783 23.2192 0.0 3.98 2.20
120.2167 23.3998 0.0 4.69 2.79
120.5087 23.3998 0.0 3.23 2.21
120.7520 23.3998 0.0 4.36 2.10
120.9952 23.3998 0.0 4.59 2.91
121.2385 23.3998 0.0 5.06 3.19
121.5792 23.3998 0.0 4.87 2.68
120.2167 23.6707 0.0 4.37 2.21
120.5090 23.6707 0.0 3.22 1.55
120.7525 23.6707 0.0 4.79 3.14
120.9960 23.6707 0.0 4.14 2.87
121.2395 23.6707 0.0 3.36 2.17
121.5805 23.6707 0.0 4.80 3.15
120.2167 23.9417 0.0 4.52 2.36
120.5092 23.9417 0.0 3.76 2.46
120.7530 23.9417 0.0 4.40 2.12
120.9968 23.9417 0.0 5.32 2.56
121.2405 23.9417 0.0 4.45 2.74
121.5818 23.9417 0.0 3.35 1.64
120.2167 24.2125 0.0 4.26 2.43
120.5095 24.2125 0.0 4.22 2.67
120.7535 24.2125 0.0 3.58 2.32
120.9975 24.2125 0.0 4.66 2.94
121.2417 24.2125 0.0 5.38 3.21
121.5832 24.2125 0.0 5.28 3.33
120.2167 24.4835 0.0 4.26 2.43
120.5098 24.4835 0.0 4.26 2.43
120.7540 24.4835 0.0 3.46 1.79
120.9983 24.4835 0.0 3.72 1.96
121.2427 24.4835 0.0 3.89 2.59
121.5847 24.4835 0.0 4.99 3.17
120.2167 24.7545 0.0 4.26 2.43
120.5102 24.7545 0.0 4.26 2.43
120.7547 24.7545 0.0 4.27 2.47
120.9992 24.7545 0.0 3.56 2.01
121.2437 24.7545 0.0 4.93 3.32
121.5860 24.7545 0.0 4.52 2.65
120.2167 25.0705 0.0 4.26 2.43
120.5105 25.0705 0.0 4.26 2.43
120.7552 25.0705 0.0 4.26 2.43
121.0000 25.0705 0.0 4.26 2.41
121.2448 25.0705 0.0 4.11 2.20
121.5877 25.0705 0.0 5.07 3.05
120.2167 22.0000 4.0 4.86 2.78
120.5072 22.0000 4.0 4.91 2.81
120.7493 22.0000 4.0 5.22 2.63
120.9913 22.0000 4.0 5.50 2.89
121.2335 22.0000 4.0 4.68 2.66
121.5725 22.0000 4.0 5.91 3.47
120.2167 22.3160 4.0 3.83 2.05
120.5075 22.3160 4.0 5.98 4.23
120.7498 22.3160 4.0 5.75 3.09
120.9922 22.3160 4.0 4.80 3.19
121.2347 22.3160 4.0 4.61 2.63
121.5740 22.3160 4.0 4.87 2.81
120.2167 22.6773 4.0 3.86 1.98
120.5078 22.6773 4.0 3.74 1.85
120.7505 22.6773 4.0 5.90 3.67
120.9932 22.6773 4.0 3.77 2.18
121.2358 22.6773 4.0 3.76 1.92
121.5757 22.6773 4.0 4.55 2.60
120.2167 22.8580 4.0 4.11 2.18
120.5080 22.8580 4.0 3.76 2.30
